,date,total_commute
0,2018-01-01,65
1,2018-01-02,1930
2,2018-01-03,330
3,2018-01-04,1530
4,2018-01-05,1140
5,2018-01-06,285
6,2018-01-07,155
7,2018-01-08,2620
8,2018-01-09,2225
9,2018-01-10,1810
10,2018-01-11,2705
11,2018-01-12,3100
12,2018-01-13,475
13,2018-01-14,210
14,2018-01-15,1160
15,2018-01-16,965
16,2018-01-17,1720
17,2018-01-18,355
18,2018-01-19,1710
19,2018-01-20,105
20,2018-01-21,195
21,2018-01-22,2855
22,2018-01-23,2760
23,2018-01-24,1525
24,2018-01-25,2385
25,2018-01-26,2305
26,2018-01-27,450
27,2018-01-28,325
28,2018-01-29,2005
29,2018-01-30,2295
30,2018-01-31,1440
31,2018-02-01,1245
32,2018-02-02,1890
33,2018-02-03,230
34,2018-02-04,135
35,2018-02-05,2475
36,2018-02-06,2280
37,2018-02-07,2710
38,2018-02-08,2290
39,2018-02-09,1060
40,2018-02-10,0
41,2018-02-11,35
42,2018-02-12,1630
43,2018-02-13,2595
44,2018-02-14,2290
45,2018-02-15,2045
46,2018-02-16,3355
47,2018-02-17,480
48,2018-02-18,335
49,2018-02-19,2475
50,2018-02-20,2610
51,2018-02-21,3060
52,2018-02-22,2405
53,2018-02-23,1835
54,2018-02-24,120
55,2018-02-25,0
56,2018-02-26,1490
57,2018-02-27,550
58,2018-02-28,205
59,2018-03-01,405
60,2018-03-02,200
61,2018-03-03,70
62,2018-03-04,35
63,2018-03-05,2305
64,2018-03-06,2605
65,2018-03-07,2235
66,2018-03-08,1755
67,2018-03-09,2365
68,2018-03-10,225
69,2018-03-11,220
70,2018-03-12,3010
71,2018-03-13,1000
72,2018-03-14,3940
73,2018-03-15,2465
74,2018-03-16,2020
75,2018-03-17,300
76,2018-03-18,385
77,2018-03-19,1965
78,2018-03-20,3485
79,2018-03-21,3080
80,2018-03-22,1915
81,2018-03-23,1990
82,2018-03-24,400
83,2018-03-25,310
84,2018-03-26,3245
85,2018-03-27,1895
86,2018-03-28,1135
87,2018-03-29,2440
88,2018-03-30,2490
89,2018-03-31,300
90,2018-04-01,100
91,2018-04-02,405
92,2018-04-03,2040
93,2018-04-04,2460
94,2018-04-05,2885
95,2018-04-06,4420
96,2018-04-07,1175
97,2018-04-08,775
98,2018-04-09,4205
99,2018-04-10,4165
100,2018-04-11,3505
101,2018-04-12,3825
102,2018-04-13,4245
103,2018-04-14,1235
104,2018-04-15,555
105,2018-04-16,4305
106,2018-04-17,5945
107,2018-04-18,6910
108,2018-04-19,8145
109,2018-04-20,6390
110,2018-04-21,2315
111,2018-04-22,1815
112,2018-04-23,5715
113,2018-04-24,1485
114,2018-04-25,2870
115,2018-04-26,3450
116,2018-04-27,275
117,2018-04-28,645
118,2018-04-29,205
119,2018-04-30,875
120,2018-05-01,1300
121,2018-05-02,4920
122,2018-05-03,4695
123,2018-05-04,4140
124,2018-05-05,1300
125,2018-05-06,1165
126,2018-05-07,6525
127,2018-05-08,7775
128,2018-05-09,7205
129,2018-05-10,835
130,2018-05-11,3575
131,2018-05-12,1985
132,2018-05-13,340
133,2018-05-14,6050
134,2018-05-15,6680
135,2018-05-16,4210
136,2018-05-17,4060
137,2018-05-18,3775
138,2018-05-19,1980
139,2018-05-20,685
140,2018-05-21,1245
141,2018-05-22,3710
142,2018-05-23,3630
